image_id,source,time,dist,traf,clut,av,group_2
1,https://www.youtube.com/watch?v=B8R148hFxPw,12,2,1,1,1,0
2,https://www.youtube.com/watch?v=B8R148hFxPw,20,1,1,1,1,0
3,https://www.youtube.com/watch?v=uHbMt6WDhQ8,40,1,0,0,1,0
4,https://www.youtube.com/watch?v=uHbMt6WDhQ8,41,0,0,0,1,0
5,https://www.youtube.com/watch?v=uHbMt6WDhQ8,70,2,0,1,1,0
6,https://www.youtube.com/watch?v=uHbMt6WDhQ8,73,1,0,1,1,0
7,https://www.youtube.com/watch?v=uHbMt6WDhQ8,77,2,1,1,1,0
8,https://www.youtube.com/watch?v=uHbMt6WDhQ8,81,1,1,1,1,1
9,https://www.youtube.com/watch?v=eE3q_5aULZg,133,2,0,0,1,0
10,https://www.youtube.com/watch?v=eE3q_5aULZg,136,0,0,0,1,0
11,https://www.youtube.com/watch?v=mP05-KPhahg,67,2,0,0,1,0
12,https://www.youtube.com/watch?v=mP05-KPhahg,76,0,0,0,1,0
13,https://www.youtube.com/watch?v=mP05-KPhahg,179,2,0,0,1,0
14,https://www.youtube.com/watch?v=mP05-KPhahg,184,0,0,0,1,0
15,https://www.youtube.com/watch?v=K0H43N-Hx7w,202,1,0,0,1,0
16,https://www.youtube.com/watch?v=K0H43N-Hx7w,205,0,0,0,1,0
17,https://www.youtube.com/watch?v=ut78n1e8Er8,33,2,0,0,1,0
18,https://www.youtube.com/watch?v=1rPzhk-ymPA,0,0,1,1,1,0
19,https://www.pxfuel.com/en/free-photo-oambf ,,1,0,1,0,0
20,https://www.pxfuel.com/en/free-photo-jyomu ,,0,1,1,0,0
21,https://www.pxfuel.com/en/free-photo-xnuop ,,0,1,1,0,1
22,https://www.pxfuel.com/en/free-photo-jyvgg ,,0,1,1,0,0
23,https://www.pxfuel.com/en/free-photo-xdxjo ,,0,1,1,0,0
24,https://www.shutterstock.com/nl/image-photo/moscow-russia-march-14-2016-traffic-394695586,,0,1,1,0,0
