image_id,coords
1,"123,381,153,381,162,392,172,408,173,423,168,431,122,430,109,423,110,402,112,390"
2,"180,456,173,431,179,385,194,382,213,380,241,378,267,381,270,389,302,417,308,428,308,449,304,460,217,465"
3,"417,375,416,341,416,328,424,307,430,270,443,244,469,234,495,229,500,216,508,209,518,209,524,215,525,225,554,228,572,235,586,241,599,252,614,268,626,281,638,296,647,322,654,363,646,374,641,387,514,404,496,400,429,388"
4,"233,443,235,425,250,370,260,340,275,306,302,266,326,250,366,236,436,227,436,200,441,192,456,188,468,189,476,198,479,223,510,224,550,231,580,238,640,271,713,326,744,358,764,388,782,427,787,459,782,478,773,493,726,517,632,539,613,540,599,558,574,573,550,575,510,565,491,535,312,514,293,529,276,535,253,529,241,508,234,479"
5,"528,382,531,344,526,331,530,322,536,321,540,307,548,300,573,293,574,280,585,278,589,284,590,292,611,294,622,298,630,310,642,357,639,381,639,399,629,400,616,396,611,388,559,389,553,400,538,400,529,390"
6,"585,407,582,396,583,366,582,357,587,340,587,318,580,313,580,304,591,301,595,285,606,268,628,262,648,260,650,246,661,241,666,245,671,260,716,266,723,276,733,298,754,301,755,309,743,318,749,344,749,358,749,387,749,406,742,415,730,414,725,404,708,408,702,397,625,399,624,410,603,413"
7,"668,411,665,399,661,381,665,363,671,347,663,345,661,332,675,332,690,312,716,306,725,295,733,293,736,297,738,305,772,312,778,323,788,362,793,368,792,377,792,403,781,407,753,410,736,410"
8,"607,444,605,426,622,371,620,357,621,350,633,350,652,322,674,314,709,310,710,294,721,290,730,294,730,304,772,318,792,329,811,370,816,397,820,410,816,442,764,446,728,452,637,463,619,461"
9,"976,344,978,328,977,314,989,307,1020,309,1029,318,1029,345"
10,"713,398,709,345,725,307,812,271,821,259,849,260,901,223,939,212,1096,216,1124,227,1153,263,1174,292,1179,313,1182,335,1173,407,1144,414,1135,405,1075,431,1062,462,1047,475,1022,471,1004,454,787,435,749,437"
11,"829,492,828,471,836,419,854,389,889,383,889,370,897,368,905,383,945,390,965,448,962,486,950,488,917,488"
12,"293,531,285,469,285,413,296,393,311,306,340,234,360,219,405,209,450,205,455,175,464,162,474,158,492,162,501,175,508,203,578,207,620,223,638,246,667,288,708,288,711,311,689,335,708,400,713,420,709,505,706,543,690,555,660,554,648,527,427,538,410,564,378,557"
13,"152,444,150,390,149,368,156,361,173,276,189,262,245,250,248,228,258,227,269,231,275,250,340,263,375,322,391,418,387,445,360,449,220,451,206,451"
14,"371,573,361,535,365,471,362,431,373,415,396,297,431,232,474,218,542,207,550,168,567,156,585,158,596,173,603,207,709,225,735,246,776,311,816,311,824,327,820,353,796,357,816,446,816,503,811,566,802,595,754,600,493,606,448,606"
15,"707,438,718,382,752,376,861,351,864,339,891,342,892,348,935,357,975,377,1027,400,1078,407,1104,416,1139,433,1139,473,1117,486,1068,486,1051,496,1011,499,791,476,760,474,709,451"
16,"378,493,384,416,390,401,431,389,512,353,538,356,569,343,569,326,587,322,602,320,614,299,631,299,635,309,641,321,668,329,667,347,692,362,720,365,759,377,820,418,837,426,845,439,932,471,970,490,985,512,993,543,1011,547,1017,561,1014,570,992,570,987,594,995,609,976,630,885,640,837,648,709,635,684,655,659,653,639,642,613,607,509,571,433,547,417,561,395,555"
17,"1072,179,1075,158,1079,140,1108,141,1110,158,1108,181"
18,"461,572,465,545,481,509,514,484,516,470,530,467,538,468,569,436,586,420,632,413,668,413,707,410,747,408,762,417,786,440,790,443,790,457,795,469,798,508,801,534,796,541,790,567,772,572,760,566,758,557,725,569,709,579,701,596,690,617,674,617,666,598,651,604,587,604,529,604,519,614,504,617,487,616,477,604,465,598,460,588"
19,"507,517,505,483,503,465,500,452,508,444,516,444,522,431,534,420,608,418,624,443,641,442,643,448,632,454,638,462,643,510,617,514"
20,"651,596,643,571,637,565,630,530,625,467,633,454,641,449,676,401,692,390,701,382,735,379,733,366,899,366,902,376,922,389,950,400,994,437,1009,441,1019,445,1022,452,1017,458,1028,468,1069,487,1082,510,1093,539,1087,579,1078,593,1065,618,1031,618,1017,599,845,601,830,621,802,623"
21,"399,565,399,547,397,512,425,457,440,444,601,418,702,334,729,326,845,316,971,318,1080,326,1115,362,1146,402,1157,423,1160,475,1163,500,1159,516,1108,546,1103,568,1080,604,1040,609,1002,600,986,572,687,604,664,644,605,660,558,637,538,604,483,607,442,596"
22,"612,575,606,547,602,541,599,524,593,519,582,489,586,484,583,449,589,430,615,378,625,370,637,361,719,352,847,346,880,359,897,364,942,393,959,392,969,406,974,418,1018,426,1026,435,1052,445,1063,459,1067,486,1083,498,1090,535,1083,553,1069,566,1065,587,1052,605,1009,607,995,601,986,585,856,604,841,626,819,635,788,630,768,616,752,585,660,559,650,581,625,582"
23,"617,589,615,567,606,549,604,529,610,496,614,488,625,486,646,463,665,452,710,450,783,448,798,450,816,458,840,475,856,487,873,486,878,498,871,502,893,514,911,530,924,553,928,567,925,602,912,605,907,619,883,622,872,613,786,617,735,615,724,615,714,632,700,632,688,603,642,582,632,594"
24,"192,575,181,532,178,501,179,458,182,415,211,365,225,354,233,344,263,342,282,345,296,346,355,341,367,337,399,336,424,338,433,342,444,348,462,362,495,394,508,392,528,392,533,407,519,414,544,428,555,445,565,478,568,513,563,527,563,555,554,576,522,581,511,569,508,557,338,572,334,592,311,598,289,593,276,550,236,546,228,575"
25,"490,593,487,575,485,553,486,521,490,489,500,483,522,451,534,443,642,441,660,444,678,459,697,478,710,478,724,484,725,492,709,493,726,508,730,520,737,562,737,582,729,604,703,606,695,590,559,595,553,611,529,613,520,593"
26,"686,644,680,628,677,558,676,528,683,517,694,505,712,482,741,458,762,454,893,451,918,456,941,470,972,502,985,498,1003,502,1005,515,992,522,1017,537,1035,552,1041,572,1045,598,1044,634,1036,641,1028,659,996,660,986,648,807,658,797,667,782,675,769,673,762,644,727,630,721,647"
27,"591,566,588,549,590,498,600,492,617,486,668,444,707,433,770,430,836,428,874,433,891,439,937,468,951,468,961,478,987,488,1053,514,1057,530,1065,544,1063,576,1065,591,1052,608,1041,609,1030,623,986,625,983,616,914,631,871,636,853,635,845,654,818,659,794,651,776,619,663,596,652,615,615,616"
28,"172,662,162,650,156,616,120,601,115,622,81,626,69,590,66,536,71,484,80,461,98,448,120,398,144,382,213,374,330,373,372,382,403,405,433,434,465,432,465,446,455,457,473,478,493,492,502,512,510,566,510,593,501,631,490,636,464,639,450,627,213,641,204,663"
29,"590,485,582,454,586,414,595,372,611,359,641,323,671,316,750,315,806,324,823,333,860,383,888,402,907,425,910,453,906,510,894,519,868,518,860,504,829,497,687,500,675,513,655,514,643,483,624,474,616,486"
30,"626,514,622,477,616,453,631,413,637,403,624,390,620,378,639,377,645,387,650,386,681,331,694,320,744,320,755,295,769,294,775,305,776,319,838,328,857,354,863,374,875,382,882,421,875,449,871,490,832,520,804,519,795,493,663,494,651,513"
31,"343,574,346,541,354,523,386,500,381,484,392,479,403,483,434,444,467,435,504,432,546,434,588,441,600,451,614,480,622,494,634,500,645,512,647,538,645,565,642,597,631,600,611,600,609,589,586,597,582,625,551,625,542,611,396,608,388,624,356,624"
32,"594,585,591,529,587,501,595,472,589,459,596,452,615,418,628,398,645,397,652,398,710,393,744,393,752,390,770,393,807,424,826,444,840,443,852,450,852,461,846,466,862,485,883,530,889,561,886,614,879,625,852,626,842,611,667,622,658,639,629,637,620,593,619,581"
33,"594,621,585,598,585,565,581,526,585,504,595,492,606,482,585,476,583,466,594,459,605,459,616,468,652,415,699,406,790,407,816,408,833,420,853,441,855,453,867,458,875,468,883,506,884,529,882,541,882,596,876,605,853,604,840,614,812,615,805,590,671,595,667,610,642,610,620,621"
34,"460,629,458,594,458,557,463,544,466,524,468,510,475,505,485,477,494,454,510,447,588,443,625,445,660,451,677,464,703,506,712,505,726,505,734,519,725,523,710,521,720,541,731,567,734,598,737,617,734,658,708,659,699,640,520,646,510,644,505,666,486,663"
35,"92,641,86,584,98,564,113,522,140,491,195,460,203,454,187,445,191,430,200,420,216,417,233,427,327,352,358,338,382,332,394,328,403,322,471,318,536,320,591,323,663,323,684,333,702,338,739,368,761,406,778,443,784,478,774,506,775,515,781,520,775,536,769,562,758,569,755,610,745,635,720,641,697,637,685,607,547,637,527,697,514,712,473,717,425,693,234,683,213,678,190,694,136,689"
36,"126,546,123,488,123,477,115,459,118,416,123,394,147,338,162,329,184,328,197,319,311,316,326,323,362,323,389,330,407,344,438,375,457,375,464,389,450,397,476,411,511,427,517,443,521,471,525,487,527,501,518,569,504,576,495,585,481,588,470,583,329,605,283,608,263,611,245,624,209,627,194,565,159,543,145,556"
37,"250,622,244,598,242,580,256,543,282,520,302,504,356,449,377,439,399,434,449,433,519,434,545,442,557,457,571,485,580,502,585,531,586,550,585,559,583,585,577,598,555,598,548,584,487,613,477,644,460,648,441,630,407,637,344,640,292,639,280,648,263,643"
38,"292,685,289,661,288,624,300,592,299,570,303,537,301,527,304,520,288,518,288,510,294,500,314,496,322,496,341,454,356,442,374,439,415,437,421,427,457,427,462,437,502,442,521,454,553,487,557,496,574,496,586,501,588,515,567,519,572,530,594,552,605,589,611,605,613,645,604,670,579,678,568,669,487,683,398,680,327,679,318,697,301,696"
39,"215,646,220,618,217,588,224,547,236,527,362,469,404,443,481,395,498,380,533,381,599,384,647,384,712,383,747,391,766,406,793,450,802,485,799,546,786,597,771,610,750,590,615,653,598,710,552,718,524,699,514,688,439,706,283,699"
